anshan,鞍山
luoning,洛宁
hblt,乐亭
gdlm,龙门
cqliangping,梁平
linqing,临清
liling,醴陵
lankao,兰考
luoyuan,罗源
leiyang,耒阳
luanchuan,栾川
lhk,老河口
malaysia,马来西亚
mianyang,绵阳
mas,马鞍山
maoming,茂名
mudanjiang,牡丹江
meizhou,梅州
meishan,眉山
us,美国
mengjin,孟津
minqing,闽清
nanjing,南京
nc,南昌
nn,南宁
nb,宁波
nt,南通
nanyang,南阳
neijiang,内江
nanchong,南充
ningde,宁德
nanping,南平
cqnanchuan,南川
ny,纽约
nujiang,怒江
naqu,那曲
ninghai,宁海
nanan,南安
nongan,农安
ningxiang,宁乡
pingdingshan,平顶山
panjin,盘锦
pingxiang,萍乡
pingliang,平凉
puyang,濮阳
panzhihua,攀枝花
putian,莆田
puer,普洱
pingtan,平潭
portugal,葡萄牙
pizhou,邳州
pingdu,平度
pulandian,普兰店
pinghu,平湖
penglai,蓬莱
peixian,沛县
pengzhou,彭州
sdpy,平阴
hbps,平山
puning,普宁
qd,青岛
qhd,秦皇岛
qz,泉州
qiqihaer,齐齐哈尔
quzhou,衢州
qingyuan,清远
qinzhou,钦州
qujing,曲靖
qiandongnan,黔东南
qingyang,庆阳
qiannan,黔南
qianxinan,黔西南
qianjiang,黔江
qitaihe,七台河
qijiang,綦江
qj,潜江
qidong,启东
qianan,迁安
qingzhou,青州
qionglai,邛崃
hbql,青龙
qianxi,迁西
qingxu,清徐
qixia,栖霞
qingzhen,清镇
quanshan,泉山
quangang,泉港
rz,日照
japan,日本
rikaze,日喀则
ruzhou,汝州
ruian,瑞安
rugao,如皋
ruijin,瑞金
rudong,如东
ruyang,汝阳
cqrongchang,荣昌
renqiu,任丘
sh,上海
sz,深圳
suzhou,苏州
sy,沈阳
sjz,石家庄
sanya,三亚
sx,绍兴
st,汕头
shunde,顺德
sq,宿迁
ahsuzhou,宿州
shiyan,十堰
sanming,三明
shaoguan,韶关
shangqiu,商丘
suihua,绥化
shennongjia,神农架
sansha,三沙
shangyu,上虞
shaoyang,邵阳
songyuan,松原
sanmenxia,三门峡
shanwei,汕尾
suizhou,随州
suining,遂宁
shangluo,商洛
shuozhou,朔州
shizuishan,石嘴山
shangrao,上饶
siping,四平
shuangyashan,双鸭山
cyprus,塞浦路斯
shuyang,沭阳
shannan,山南
sg,寿光
shishi,石狮
jssn,睢宁
sdsh,商河
songxian,嵩县
shangzhi,尚志
cqshizhu,石柱
hbsz,深州
hbsh,三河
tj,天津
taiyuan,太原
ts,唐山
tz,台州
taizhou,泰州
tc,太仓
taian,泰安
tieling,铁岭
tianshui,天水
tongchuan,铜川
tonghua,通化
tl,通辽
tongling,铜陵
tongren,铜仁
tulufan,吐鲁番
tmsk,图木舒克
tianmen,天门
cqtongliang,铜梁
taixing,泰兴
tengzhou,滕州
tongcheng,桐城
tongxiang,桐乡
zjtl,桐庐
taishan,台山
cqtongnan,潼南
tongshan,铜山
lnta,台安
wuhan,武汉
wuxi,无锡
weihai,威海
wf,潍坊
wz,温州
wlcb,乌兰察布
xj,乌鲁木齐
wuhu,芜湖
wuzhou,梧州
weinan,渭南
wenshan,文山
wuzhong,吴忠
wuwei,武威
wanzhou,万州
wuhai,乌海
wujiaqu,五家渠
wuzhishan,五指山
wenling,温岭
wafangdian,瓦房店
wushan,巫山
hbwj,无极
wuchang,五常
cqwulong,武隆
wenan,文安
wuhe,五河
wanning,万宁
wuan,武安
cswc,望城
wg,舞钢
xian,西安
seattle,西雅图
spain,西班牙
greece,希腊
sydney,悉尼
xn,西宁
xm,厦门
xz,徐州
xt,湘潭
xx,新乡
xiangyang,襄阳
xingtai,邢台
xiaogan,孝感
xuchang,许昌
xinzhou,忻州
xuancheng,宣城
xinyi,新沂
xishuangbanna,西双版纳
xianyang,咸阳
xinyang,信阳
xinyu,新余
xiangxi,湘西
xianning,咸宁
bj,香河
xiantao,仙桃
xlglm,锡林郭勒盟
xam,兴安盟
xinghua,兴化
xintai,新泰
xinzheng,新郑
zjxs,象山
xingyang,荥阳
xinjian,新建
xinji,辛集
xinmi,新密
hnxa,新安
xinmin,新民
xiuwen,修文
xinle,新乐
youxian,攸县
xiangxiang,湘乡
xinjin,新津
xilinhaote,锡林浩特
xf,新丰
yt,烟台
yz,扬州
yc,宜昌
yinchuan,银川
yl,玉林
yk,营口
yanan,延安
yancheng,盐城
yueyang,岳阳
yanbian,延边
yingtan,鹰潭
yuxi,玉溪
yichun,宜春
sxyulin,榆林
yibin,宜宾
yongzhou,永州
yili,伊犁
yangjiang,阳江
yangquan,阳泉
yaan,雅安
yiyang,益阳
yunfu,云浮
hljyichun,伊春
yuncheng,运城
yongchuan,永川
bj,燕郊
yixing,宜兴
yushu,玉树
yiwu,义乌
yueqing,乐清
yanling,鄢陵
yangchun,阳春
hnyz,禹州
yuyao,余姚
yongkang,永康
yizheng,仪征
yuhuan,玉环
yichuan,伊川
yanshi,偃师
yidu,宜都
yongdeng,永登
yuzhong,榆中
yongchun,永春
hnyy,宜阳
yutian,玉田
jlys,榆树
yilan,依兰
cqyunyang,云阳
hbys,元氏
ynyl,宜良
yangqu,阳曲
yongning,邕宁
yongtai,永泰
ksys,玉山
yongcheng,永城
ya,永安
hbyc,宜城
zj,湛江
zhenjiang,镇江
zz,郑州
zs,中山
zhuzhou,株洲
zh,珠海
zb,淄博
zhoushan,舟山
zjg,张家港
zhangjiakou,张家口
zhangzhou,漳州
zhaoqing,肇庆
zaozhuang,枣庄
zhoukou,周口
zhumadian,驻马店
zigong,自贡
zhangjiajie,张家界
ziyang,资阳
zunyi,遵义
zhaotong,昭通
zhongwei,中卫
zhangye,张掖
bj,涿州
chicago,芝加哥
zhangqiu,章丘
zhucheng,诸城
zy,招远
zhuji,诸暨
zoucheng,邹城
zouping,邹平
zunhua,遵化
zhaodong,肇东
zhongmou,中牟
lnzh,庄河
zhijiang,枝江
hbzx,赵县
zhouzhi,周至
cqzhongxian,忠县
zhaozhou,肇州
zhaoyuan,肇源
zhenhai,镇海
zhongxiang,钟祥
hbzy,枣阳
